Date,ACWI,SP500,RUSSELL1000,EW,GMV,RP,GMV_EW
2006-01-02,0.049226471,0.026178756,0.027726518,0.090915626,0.086073576,0.095229322,0.088494601
2006-02-01,-0.001468669,0.002032976,0.001592285,0.006626345,0.007010538,0.004596483,0.006818442
2006-03-01,0.021036093,0.01202933,0.013744038,0.021258322,0.013348653,0.017320622,0.017303487
2006-04-03,0.033284365,0.013059721,0.011633597,0.059652829,0.03923701,0.055842729,0.049444919
2006-05-01,-0.039422193,-0.02942368,-0.030156776,-0.078295586,-0.072593452,-0.078034427,-0.075444519
2006-06-01,-0.000431016,0.000973955,0.000918211,-0.010944496,-0.033363861,-0.01879807,-0.022154178
2006-07-03,0.006824981,0.005843389,0.00188004,0.027780725,0.024543964,0.028031221,0.026162345
2006-08-01,0.025920133,0.023035792,0.023264226,0.029899763,0.03947855,0.034088951,0.034689157
2006-09-01,0.011653323,0.02541096,0.023365002,0.010576783,0.018672464,0.012195148,0.014624624
2006-10-02,0.037510768,0.032264766,0.033648189,0.054015697,0.039071344,0.049264202,0.046543521
2006-11-01,0.028271113,0.018249196,0.02059487,0.046885809,0.02748579,0.03874854,0.0371858
2006-12-01,0.022313816,0.013603081,0.012371577,0.040337809,0.034439744,0.03624706,0.037388777
2007-01-01,0.009949091,0.014804423,0.01895222,0.017371577,0.052585078,0.028805294,0.034978328
2007-02-01,-0.005265322,-0.020244812,-0.017855726,-0.001792706,0.005050077,0.002783367,0.001628685
2007-03-01,0.020056119,0.010824229,0.010019392,0.038042666,0.02421243,0.032448441,0.031127548
2007-04-02,0.044389529,0.043992599,0.04174,0.059649208,0.055134633,0.056245094,0.057391921
2007-05-01,0.029731949,0.03418877,0.03536391,0.036197084,0.030337114,0.032829148,0.033267099
2007-06-01,-0.002939024,-0.016974112,-0.019470044,0.017450242,0.008758288,0.015389002,0.013104265
2007-07-02,-0.015271257,-0.031297649,-0.031174947,0.015999266,0.00300709,0.011813504,0.009503178
2007-08-01,-0.002766661,0.014350279,0.012970789,-0.029794524,-0.035398457,-0.031482854,-0.032596491
2007-09-03,0.053681224,0.036919908,0.037730032,0.079714348,0.069985183,0.075400518,0.074849765
2007-10-01,0.039012123,0.015577619,0.01712068,0.071931979,0.068997656,0.072115012,0.070464817
2007-11-01,-0.044213991,-0.042474353,-0.043258786,-0.04477142,-0.023538734,-0.037043463,-0.034155077
2007-12-03,-0.011069758,-0.007447072,-0.007022164,3.58766E-05,0.017264524,0.005226203,0.0086502
2008-01-01,-0.081905782,-0.060336386,-0.060283449,-0.088329373,-0.028325487,-0.068293009,-0.05832743
2008-02-01,0.002826737,-0.033169136,-0.031196,0.04200965,0.025867596,0.038897292,0.033938623
2008-03-03,-0.014670539,-0.004810475,-0.007261214,-0.016305307,-0.020482145,-0.013755641,-0.018393726
2008-04-01,0.055785791,0.048357335,0.050360401,0.046891491,0.029087886,0.038534144,0.037989688
2008-05-01,0.015630081,0.012268266,0.017702608,0.0111927,-0.011245445,0.004436809,-2.63724E-05
2008-06-02,-0.082111197,-0.084803984,-0.083552134,-0.085595892,-0.060190508,-0.072223831,-0.0728932
2008-07-01,-0.02597026,-0.008838729,-0.01204597,-0.026907755,-0.033350851,-0.03103433,-0.030129303
2008-08-01,-0.02155605,0.013777405,0.013137516,-0.056929704,-0.053976666,-0.055018178,-0.055453185
2008-09-01,-0.124975564,-0.089607761,-0.095779168,-0.158530471,-0.10625879,-0.144600773,-0.13239463
2008-10-01,-0.19815363,-0.168393665,-0.175026079,-0.262956627,-0.182188538,-0.239250065,-0.222572583
2008-11-03,-0.065695082,-0.072684579,-0.076509404,-0.06693608,-0.075500642,-0.068556159,-0.071218361
2008-12-01,0.036242599,0.009799545,0.015140546,0.053692149,0.009361094,0.029160953,0.031526622
2009-01-01,-0.085434625,-0.084701909,-0.082015504,-0.084577682,-0.076349113,-0.082829126,-0.080463398
2009-02-02,-0.097920974,-0.1075136,-0.104357372,-0.083336549,-0.031428027,-0.069736388,-0.057382288
2009-03-02,0.082373865,0.08693762,0.086779431,0.104822816,0.06254404,0.092470976,0.083683428
2009-04-01,0.118041806,0.09517435,0.100723544,0.156631142,0.109482039,0.147918546,0.13305659
2009-05-01,0.099640681,0.055071103,0.054525679,0.142422594,0.104036961,0.133844206,0.123229778
2009-06-01,-0.005600037,0.001448139,0.001913389,-0.002280487,0.01211208,0.002852945,0.004915797
2009-07-01,0.088027097,0.07518728,0.075882134,0.109268587,0.074044219,0.100447084,0.091656403
2009-08-03,0.035762077,0.035348532,0.035611765,0.03815497,0.023162861,0.03270726,0.030658916
2009-09-01,0.045874005,0.036834735,0.040091592,0.066020152,0.033766072,0.058803103,0.049893112
2009-10-01,-0.015449508,-0.018933421,-0.022427356,-0.010927231,0.005941962,-0.008456562,-0.002492635
2009-11-02,0.041125,0.059198395,0.058118555,0.024146883,0.001235513,0.01742645,0.012691198
2009-12-01,0.020706326,0.018849504,0.023859902,0.021785637,0.033755537,0.023463245,0.027770587
2010-01-01,-0.043209615,-0.036274216,-0.036262627,-0.036295251,-0.006128668,-0.029868332,-0.021211959
2010-02-01,0.012735465,0.030236236,0.032253589,-0.00862055,0.005878614,-0.003439709,-0.001370968
2010-03-01,0.064328096,0.059883721,0.060964135,0.072917514,0.049870609,0.067955297,0.061394062
2010-04-01,0.001688808,0.015474493,0.018197733,0.002941821,0.012042271,0.006014538,0.007492046
2010-05-03,-0.09481073,-0.080487897,-0.079894575,-0.106310134,-0.085192759,-0.099378698,-0.095751447
2010-06-01,-0.030804013,-0.05280782,-0.056121759,-0.014110654,-0.010787035,-0.011577729,-0.012448845
2010-07-01,0.081364261,0.069675995,0.069123163,0.102080601,0.056673857,0.089013428,0.079377229
2010-08-02,-0.034957911,-0.045840919,-0.045356529,-0.022232925,0.009617164,-0.015249324,-0.00630788
2010-09-01,0.095667431,0.088739669,0.09137315,0.111461096,0.082505984,0.105421243,0.09698354
2010-10-01,0.036139919,0.037691934,0.038575772,0.038972882,0.021312487,0.035593226,0.030142684
2010-11-01,-0.02224872,-0.000597044,0.002600795,-0.059904364,-0.019349956,-0.05116531,-0.03962716
2010-12-01,0.07322577,0.066370657,0.066288602,0.075701883,0.072128944,0.072398348,0.073915414
2011-01-03,0.015693304,0.023387858,0.023759123,0.000359897,-0.029211824,-0.00606679,-0.014425963
2011-02-01,0.029125336,0.033569889,0.034153216,0.012587482,-0.000607683,0.00998385,0.005989899
2011-03-01,-0.001003622,-3.81719E-05,0.002148634,0.025847379,0.005507969,0.021938341,0.015677674
2011-04-01,0.040912165,0.029279,0.029758301,0.047775235,0.026721874,0.039949251,0.037248555
2011-05-02,-0.021490363,-0.011974632,-0.011326065,-0.028427931,0.012573088,-0.018098205,-0.007927421
2011-06-01,-0.015758086,-0.017145029,-0.017949068,-0.017838772,-0.019321361,-0.018629938,-0.018580066
2011-07-01,-0.016279679,-0.02067609,-0.022019915,-0.018076173,-0.011919829,-0.013741035,-0.014998001
2011-08-01,-0.07305077,-0.055065371,-0.058278939,-0.083394611,-0.060493261,-0.075485105,-0.071943936
2011-09-01,-0.094414101,-0.070738024,-0.07505821,-0.128327091,-0.100092745,-0.119679382,-0.114209918
2011-10-03,0.107147833,0.108821407,0.111648505,0.105034156,0.087543144,0.098190647,0.09628865
2011-11-01,-0.02994034,-0.003064106,-0.00339676,-0.059214778,-0.062236709,-0.060061048,-0.060725743
2011-12-01,-0.002017467,0.00972278,0.007858112,-0.017246315,-0.000448203,-0.013787094,-0.008847259
2012-01-02,0.058143285,0.044445329,0.048378006,0.08790532,0.085792148,0.087190087,0.086848734
